formatted_date,temperature,apparent_temperature,humidity,wind_speed,wind_bearing,visibility,pressure
2006-04-10 06:00:00+00:00,9.87,7.93,0.78,13.75,160.0,9.98,1014.24
2006-04-10 07:00:00+00:00,12.22,12.22,0.72,15.63,150.0,9.98,1014.25
2006-04-10 08:00:00+00:00,15.09,15.09,0.61,17.55,151.0,9.98,1013.96
2006-04-10 09:00:00+00:00,17.36,17.36,0.52,22.78,169.0,9.98,1013.85
2006-04-10 10:00:00+00:00,19.01,19.01,0.46,23.89,169.0,9.98,1013.04
2006-04-10 11:00:00+00:00,20.04,20.04,0.4,28.37,170.0,9.98,1012.22
2006-04-10 12:00:00+00:00,21.05,21.05,0.4,26.9,187.0,10.35,1011.44
2006-04-10 13:00:00+00:00,21.18,21.18,0.37,25.7,179.0,9.98,1010.52
2006-04-10 14:00:00+00:00,20.12,20.12,0.4,25.31,162.0,9.98,1009.83
2006-04-10 15:00:00+00:00,20.22,20.22,0.36,18.11,161.0,10.35,1009.26
2006-04-10 16:00:00+00:00,20.0,20.0,0.43,23.43,160.0,9.98,1008.76
2006-04-10 17:00:00+00:00,17.8,17.8,0.5,20.04,150.0,11.21,1008.36
2006-04-10 18:00:00+00:00,16.06,16.06,0.53,21.4,149.0,9.98,1008.11
2006-04-10 19:00:00+00:00,15.02,15.02,0.55,21.38,159.0,9.98,1008.15
2006-04-10 20:00:00+00:00,14.42,14.42,0.58,20.01,159.0,15.83,1007.85
2006-04-10 21:00:00+00:00,14.26,14.26,0.59,16.5,168.0,14.96,1007.89
2006-04-10 22:00:00+00:00,13.77,13.77,0.6,17.1,160.0,15.83,1007.36
2006-04-10 23:00:00+00:00,13.28,13.28,0.63,14.36,160.0,15.83,1007.26
2006-04-11 00:00:00+00:00,8.63,5.47,0.87,22.04,32.0,6.7,1005.1
2006-04-11 01:00:00+00:00,11.25,11.25,0.83,11.33,152.0,15.83,1007.01
2006-04-11 02:00:00+00:00,11.18,11.18,0.89,11.21,180.0,9.9,1006.73
2006-04-11 03:00:00+00:00,10.69,10.69,0.95,10.4,161.0,6.7,1006.59
2006-04-11 04:00:00+00:00,11.11,11.11,0.93,12.01,140.0,5.97,1006.34
2006-04-11 05:00:00+00:00,11.11,11.11,0.93,9.21,103.0,10.8,1006.09
2006-04-11 06:00:00+00:00,12.17,12.17,0.82,9.9,113.0,10.67,1005.97
2006-04-11 07:00:00+00:00,12.76,12.76,0.79,13.83,129.0,10.82,1005.63
2006-04-11 08:00:00+00:00,13.84,13.84,0.84,9.1,159.0,10.82,1005.83
2006-04-11 09:00:00+00:00,16.18,16.18,0.73,0.64,207.0,10.75,1005.97
2006-04-11 10:00:00+00:00,17.52,17.52,0.67,0.68,153.0,10.9,1005.64
2006-04-11 11:00:00+00:00,17.38,17.38,0.67,3.86,4.0,10.85,1005.2
2006-04-11 12:00:00+00:00,17.36,17.36,0.71,7.82,341.0,11.08,1005.1
2006-04-11 13:00:00+00:00,17.21,17.21,0.74,15.58,15.0,10.85,1004.65
2006-04-11 14:00:00+00:00,15.63,15.63,0.81,23.7,348.0,10.88,1004.04
2006-04-11 15:00:00+00:00,13.58,13.58,0.9,20.96,321.0,7.62,1004.08
2006-04-11 16:00:00+00:00,10.91,10.91,0.86,22.4,311.0,2.66,1004.61
2006-04-11 17:00:00+00:00,8.8,5.29,0.99,26.5,339.0,2.66,1004.99
2006-04-11 18:00:00+00:00,8.96,5.78,0.93,23.22,340.0,3.82,1004.85
2006-04-11 19:00:00+00:00,8.2,4.61,0.96,25.42,330.0,4.49,1004.96
2006-04-11 20:00:00+00:00,7.69,3.72,0.96,28.13,339.0,4.44,1005.14
2006-04-11 21:00:00+00:00,7.77,4.65,0.96,19.29,339.0,5.68,1005.05
2006-04-11 22:00:00+00:00,8.2,5.07,0.96,20.45,341.0,3.11,1004.8
2006-04-11 23:00:00+00:00,8.18,4.37,0.93,27.87,19.0,3.2,1004.89
2006-04-12 00:00:00+00:00,7.31,6.18,0.82,6.75,277.0,14.06,1007.0
2006-04-12 01:00:00+00:00,7.64,5.04,0.93,14.91,9.0,6.12,1004.3
2006-04-12 02:00:00+00:00,6.62,2.62,0.93,25.04,0.0,6.12,1003.68
2006-04-12 03:00:00+00:00,6.68,3.22,0.93,19.84,350.0,6.17,1003.86
2006-04-12 04:00:00+00:00,6.09,1.65,0.93,28.09,349.0,7.97,1003.57
2006-04-12 05:00:00+00:00,6.07,1.63,0.93,27.98,348.0,6.34,1003.96
2006-04-12 06:00:00+00:00,6.14,1.49,0.93,30.86,349.0,10.55,1004.1
2006-04-12 07:00:00+00:00,7.13,2.69,0.8,32.17,349.0,11.21,1004.26
2006-04-12 08:00:00+00:00,7.21,3.23,0.86,26.53,339.0,11.27,1004.18
2006-04-12 09:00:00+00:00,7.57,3.54,0.84,28.34,339.0,10.55,1004.23
2006-04-12 10:00:00+00:00,8.9,5.16,0.77,29.83,348.0,11.27,1004.47
2006-04-12 11:00:00+00:00,9.96,6.64,0.71,28.48,339.0,11.27,1004.52
2006-04-12 12:00:00+00:00,9.89,6.55,0.71,28.51,338.0,11.08,1004.29
2006-04-12 13:00:00+00:00,11.07,11.07,0.71,25.7,320.0,11.27,1003.93
2006-04-12 14:00:00+00:00,10.12,10.12,0.76,25.34,311.0,11.27,1004.0
2006-04-12 15:00:00+00:00,11.04,11.04,0.66,21.41,311.0,9.98,1004.3
2006-04-12 16:00:00+00:00,10.65,10.65,0.7,17.85,310.0,14.91,1004.0
2006-04-12 17:00:00+00:00,10.05,10.05,0.7,15.2,328.0,9.98,1004.39
2006-04-12 18:00:00+00:00,9.9,7.72,0.66,15.73,348.0,11.03,1005.48
2006-04-12 19:00:00+00:00,8.79,6.82,0.71,12.36,20.0,9.98,1005.89
2006-04-12 20:00:00+00:00,7.83,5.41,0.72,13.89,28.0,15.83,1006.37
2006-04-12 21:00:00+00:00,7.86,6.12,0.72,9.8,11.0,15.01,1006.56
2006-04-12 22:00:00+00:00,7.32,6.21,0.75,6.67,326.0,15.87,1007.07
2006-04-12 23:00:00+00:00,7.24,6.01,0.75,7.12,309.0,15.87,1007.37
2006-04-13 00:00:00+00:00,5.44,5.44,0.88,3.72,193.0,9.98,1012.23
2006-04-13 01:00:00+00:00,7.2,4.55,0.76,14.47,273.0,15.83,1007.28
2006-04-13 02:00:00+00:00,6.69,3.16,0.7,20.53,300.0,15.83,1007.18
2006-04-13 03:00:00+00:00,6.21,2.69,0.73,19.3,309.0,14.96,1007.39
2006-04-13 04:00:00+00:00,6.11,2.8,0.76,17.44,300.0,9.98,1007.67
2006-04-13 05:00:00+00:00,6.11,2.44,0.76,20.41,300.0,9.98,1007.98
2006-04-13 06:00:00+00:00,6.17,2.92,0.76,17.05,307.0,9.98,1008.57
2006-04-13 07:00:00+00:00,7.22,3.83,0.71,20.51,319.0,9.98,1008.87
2006-04-13 08:00:00+00:00,7.29,4.24,0.73,17.65,328.0,9.98,1009.44
2006-04-13 09:00:00+00:00,7.41,4.82,0.72,14.41,318.0,9.98,1010.03
2006-04-13 10:00:00+00:00,7.96,6.07,0.7,10.75,321.0,10.05,1010.22
2006-04-13 11:00:00+00:00,8.03,7.58,0.7,4.86,349.0,10.05,1010.39
2006-04-13 12:00:00+00:00,9.08,9.08,0.65,2.38,348.0,10.03,1010.24
2006-04-13 13:00:00+00:00,9.05,9.05,0.62,0.32,243.0,9.98,1010.0
2006-04-13 14:00:00+00:00,9.05,9.05,0.65,3.25,177.0,11.21,1009.98
2006-04-13 15:00:00+00:00,9.18,9.18,0.65,3.01,170.0,11.03,1010.05
2006-04-13 16:00:00+00:00,9.07,7.46,0.7,10.46,172.0,9.98,1010.1
2006-04-13 17:00:00+00:00,7.98,6.81,0.75,7.34,172.0,9.98,1010.39
2006-04-13 18:00:00+00:00,8.07,6.43,0.75,9.52,150.0,9.98,1010.91
2006-04-13 19:00:00+00:00,7.89,6.13,0.82,10.0,142.0,9.98,1011.32
2006-04-13 20:00:00+00:00,7.31,4.81,0.83,13.68,141.0,11.98,1011.61
2006-04-13 21:00:00+00:00,7.34,5.18,0.84,11.54,141.0,14.17,1011.97
2006-04-13 22:00:00+00:00,6.62,4.11,0.85,12.72,142.0,14.91,1012.22
2006-04-13 23:00:00+00:00,6.07,3.41,0.88,12.9,130.0,14.91,1012.74
2006-04-14 00:00:00+00:00,8.34,8.34,0.88,0.69,359.0,15.01,1015.35
2006-04-14 01:00:00+00:00,5.18,4.11,0.91,5.54,166.0,9.98,1013.29
2006-04-14 02:00:00+00:00,3.72,2.57,0.94,5.2,145.0,9.98,1013.39
2006-04-14 03:00:00+00:00,4.86,3.71,0.93,5.62,170.0,5.92,1013.45
2006-04-14 04:00:00+00:00,5.21,5.21,0.92,4.77,178.0,1.22,1013.4
2006-04-14 05:00:00+00:00,6.26,4.64,0.92,7.92,223.0,7.21,1013.81
2006-04-14 06:00:00+00:00,7.79,6.06,0.87,9.76,240.0,10.67,1014.7
2006-04-14 07:00:00+00:00,10.05,10.05,0.76,9.69,231.0,11.21,1014.67
2006-04-14 08:00:00+00:00,12.2,12.2,0.66,14.49,230.0,9.98,1014.66
2006-04-14 09:00:00+00:00,12.7,12.7,0.63,20.33,214.0,11.03,1014.8
2006-04-14 10:00:00+00:00,13.93,13.93,0.58,23.59,222.0,11.27,1014.47
2006-04-14 11:00:00+00:00,15.09,15.09,0.59,22.3,241.0,11.27,1014.16
2006-04-14 12:00:00+00:00,15.15,15.15,0.5,14.72,235.0,11.45,1014.07
2006-04-14 13:00:00+00:00,16.18,16.18,0.44,14.49,238.0,11.27,1013.34
2006-04-14 14:00:00+00:00,16.25,16.25,0.55,14.72,211.0,11.27,1012.72
2006-04-14 15:00:00+00:00,16.29,16.29,0.5,19.59,221.0,11.45,1012.38
2006-04-14 16:00:00+00:00,16.1,16.1,0.56,14.83,215.0,11.13,1012.38
2006-04-14 17:00:00+00:00,12.96,12.96,0.68,11.98,224.0,11.27,1012.72
2006-04-14 18:00:00+00:00,13.85,13.85,0.64,11.56,231.0,11.45,1013.42
2006-04-14 19:00:00+00:00,12.78,12.78,0.69,14.25,358.0,10.05,1014.41
2006-04-14 20:00:00+00:00,12.15,12.15,0.72,11.25,8.0,15.87,1014.89
2006-04-14 21:00:00+00:00,10.68,10.68,0.81,5.78,59.0,15.01,1014.91
2006-04-14 22:00:00+00:00,10.44,10.44,0.83,2.64,63.0,15.87,1014.75
2006-04-14 23:00:00+00:00,9.82,9.47,0.8,5.31,65.0,15.87,1015.55
2006-04-15 00:00:00+00:00,11.03,11.03,0.74,11.38,146.0,14.96,1015.7
2006-04-15 01:00:00+00:00,7.14,7.14,0.93,3.65,305.0,14.91,1016.43
2006-04-15 02:00:00+00:00,7.62,5.64,0.89,10.87,327.0,14.91,1016.56
2006-04-15 03:00:00+00:00,7.63,6.61,0.86,6.52,319.0,13.38,1017.15
2006-04-15 04:00:00+00:00,7.04,4.86,0.86,11.4,271.0,9.98,1017.37
2006-04-15 05:00:00+00:00,8.6,7.04,0.84,9.66,297.0,9.98,1018.25
2006-04-15 06:00:00+00:00,9.65,7.38,0.84,15.96,289.0,9.98,1019.24
2006-04-15 07:00:00+00:00,12.11,12.11,0.72,13.17,310.0,9.98,1019.83
2006-04-15 08:00:00+00:00,12.78,12.78,0.71,13.17,301.0,11.21,1020.51
2006-04-15 09:00:00+00:00,13.81,13.81,0.65,9.68,307.0,11.45,1020.91
2006-04-15 10:00:00+00:00,16.02,16.02,0.48,11.24,307.0,11.27,1020.6
2006-04-15 11:00:00+00:00,17.13,17.13,0.47,12.7,308.0,11.27,1020.39
2006-04-15 12:00:00+00:00,17.14,17.14,0.43,10.61,279.0,11.45,1020.34
2006-04-15 13:00:00+00:00,17.78,17.78,0.4,7.95,272.0,11.21,1019.7
2006-04-15 14:00:00+00:00,17.78,17.78,0.37,2.59,351.0,11.21,1018.89
2006-04-15 15:00:00+00:00,17.81,17.81,0.43,11.01,175.0,10.35,1018.48
2006-04-15 16:00:00+00:00,16.16,16.16,0.52,9.19,172.0,9.98,1017.87
2006-04-15 17:00:00+00:00,14.05,14.05,0.63,9.16,160.0,9.98,1017.56
2006-04-15 18:00:00+00:00,13.09,13.09,0.67,9.27,138.0,9.98,1017.38
2006-04-15 19:00:00+00:00,12.29,12.29,0.72,9.45,141.0,9.98,1017.58
2006-04-15 20:00:00+00:00,12.78,12.78,0.66,11.08,141.0,15.83,1017.65
2006-04-15 21:00:00+00:00,12.73,12.73,0.67,13.38,149.0,14.96,1017.36
2006-04-15 22:00:00+00:00,12.27,12.27,0.69,14.14,151.0,15.83,1016.8
2006-04-15 23:00:00+00:00,11.71,11.71,0.71,11.32,158.0,15.83,1016.64
2006-04-16 00:00:00+00:00,10.83,10.83,0.86,9.18,259.0,14.17,1013.13
2006-04-16 01:00:00+00:00,12.2,12.2,0.59,14.17,141.0,15.83,1014.79
2006-04-16 02:00:00+00:00,12.2,12.2,0.6,14.3,151.0,15.83,1014.25
2006-04-16 03:00:00+00:00,11.69,11.69,0.68,13.83,152.0,14.96,1013.95
2006-04-16 04:00:00+00:00,11.21,11.21,0.77,14.01,132.0,9.98,1013.63
2006-04-16 05:00:00+00:00,11.13,11.13,0.77,15.49,150.0,9.98,1013.27
2006-04-16 06:00:00+00:00,11.44,11.44,0.77,13.88,163.0,10.35,1013.56
2006-04-16 07:00:00+00:00,13.03,13.03,0.81,14.46,209.0,9.98,1012.85
2006-04-16 08:00:00+00:00,17.24,17.24,0.62,25.02,221.0,11.27,1012.15
2006-04-16 09:00:00+00:00,17.74,17.74,0.53,27.37,230.0,11.45,1011.71
2006-04-16 10:00:00+00:00,17.84,17.84,0.56,22.22,251.0,11.27,1011.28
2006-04-16 11:00:00+00:00,18.86,18.86,0.56,23.54,250.0,11.27,1010.99
2006-04-16 12:00:00+00:00,18.67,18.67,0.56,19.9,240.0,11.4,1010.93
2006-04-16 13:00:00+00:00,17.82,17.82,0.56,17.5,243.0,11.27,1010.7
2006-04-16 14:00:00+00:00,17.8,17.8,0.59,17.69,281.0,11.27,1010.52
2006-04-16 15:00:00+00:00,17.35,17.35,0.57,19.56,295.0,11.4,1010.69
2006-04-16 16:00:00+00:00,16.07,16.07,0.67,21.82,280.0,11.21,1010.86
2006-04-16 17:00:00+00:00,14.93,14.93,0.73,17.28,280.0,11.21,1011.14
2006-04-16 18:00:00+00:00,13.92,13.92,0.78,11.77,279.0,11.29,1011.64
2006-04-16 19:00:00+00:00,12.76,12.76,0.84,11.04,270.0,11.08,1012.02
2006-04-16 20:00:00+00:00,12.76,12.76,0.84,11.06,277.0,15.7,1012.21
2006-04-16 21:00:00+00:00,12.37,12.37,0.86,7.29,239.0,14.88,1012.33
2006-04-16 22:00:00+00:00,11.18,11.18,0.93,6.92,241.0,15.83,1012.6
2006-04-16 23:00:00+00:00,11.67,11.67,0.9,11.17,242.0,15.83,1012.8
2006-04-17 00:00:00+00:00,8.98,7.37,0.95,10.32,266.0,6.84,1012.66
2006-04-17 01:00:00+00:00,10.58,10.58,0.93,11.17,278.0,14.91,1012.32
2006-04-17 02:00:00+00:00,10.53,10.53,0.89,14.01,269.0,14.91,1012.33
2006-04-17 03:00:00+00:00,10.59,10.59,0.87,7.29,269.0,14.17,1012.55
2006-04-17 04:00:00+00:00,9.98,9.28,0.89,6.73,297.0,15.83,1012.71
2006-04-17 05:00:00+00:00,11.02,11.02,0.86,7.89,307.0,9.98,1013.01
2006-04-17 06:00:00+00:00,13.54,13.54,0.75,11.87,305.0,9.98,1013.23
2006-04-17 07:00:00+00:00,13.89,13.89,0.68,20.01,308.0,11.21,1013.31
2006-04-17 08:00:00+00:00,15.0,15.0,0.67,17.58,300.0,11.21,1013.4
2006-04-17 09:00:00+00:00,17.18,17.18,0.57,15.96,319.0,11.45,1013.27
2006-04-17 10:00:00+00:00,16.2,16.2,0.62,16.31,309.0,11.27,1013.02
2006-04-17 11:00:00+00:00,17.75,17.75,0.56,17.77,290.0,11.21,1013.03
2006-04-17 12:00:00+00:00,18.41,18.41,0.54,19.08,297.0,15.36,1012.55
2006-04-17 13:00:00+00:00,17.82,17.82,0.59,17.6,319.0,11.27,1012.03
2006-04-17 14:00:00+00:00,17.31,17.31,0.57,20.33,310.0,11.27,1011.81
2006-04-17 15:00:00+00:00,17.51,17.51,0.55,13.72,316.0,11.45,1011.33
2006-04-17 16:00:00+00:00,17.27,17.27,0.54,14.38,309.0,9.98,1011.2
2006-04-17 17:00:00+00:00,15.14,15.14,0.61,10.9,310.0,9.98,1011.5
2006-04-17 18:00:00+00:00,13.25,13.25,0.69,4.72,325.0,9.98,1011.76
2006-04-17 19:00:00+00:00,12.29,12.29,0.72,4.67,282.0,9.98,1012.01
2006-04-17 20:00:00+00:00,10.7,10.7,0.79,3.57,281.0,15.83,1012.31
2006-04-17 21:00:00+00:00,9.86,9.39,0.85,5.75,274.0,14.96,1012.51
2006-04-17 22:00:00+00:00,9.52,7.86,0.88,11.27,280.0,11.98,1012.52
2006-04-17 23:00:00+00:00,8.41,8.41,0.92,3.12,255.0,11.98,1012.61
2006-04-18 00:00:00+00:00,13.01,13.01,0.82,9.63,46.0,14.96,1011.27
2006-04-18 01:00:00+00:00,7.73,7.73,0.96,3.43,277.0,4.3,1012.54
2006-04-18 02:00:00+00:00,6.14,6.14,0.96,3.35,284.0,4.12,1012.44
2006-04-18 03:00:00+00:00,6.47,6.47,0.95,2.99,283.0,4.77,1012.62
2006-04-18 04:00:00+00:00,6.63,6.63,0.96,3.3,313.0,2.93,1012.75
2006-04-18 05:00:00+00:00,8.69,8.69,0.93,1.43,290.0,5.84,1012.96
2006-04-18 06:00:00+00:00,11.99,11.99,0.81,2.42,345.0,9.61,1013.38
2006-04-18 07:00:00+00:00,13.77,13.77,0.78,4.15,16.0,9.68,1013.14
2006-04-18 08:00:00+00:00,15.09,15.09,0.77,7.37,332.0,9.9,1013.33
2006-04-18 09:00:00+00:00,16.46,16.46,0.68,7.81,350.0,11.08,1013.56
2006-04-18 10:00:00+00:00,17.31,17.31,0.62,7.37,330.0,11.27,1013.61
2006-04-18 11:00:00+00:00,17.87,17.87,0.64,8.37,12.0,11.27,1013.11
2006-04-18 12:00:00+00:00,19.04,19.04,0.47,7.07,39.0,11.45,1012.69
2006-04-18 13:00:00+00:00,18.98,18.98,0.51,10.87,3.0,11.27,1012.2
2006-04-18 14:00:00+00:00,19.01,19.01,0.55,4.81,9.0,11.21,1011.7
2006-04-18 15:00:00+00:00,19.01,19.01,0.53,4.8,33.0,11.4,1011.4
2006-04-18 16:00:00+00:00,17.87,17.87,0.64,10.93,24.0,11.21,1011.32
2006-04-18 17:00:00+00:00,17.27,17.27,0.62,10.85,33.0,9.98,1011.23
2006-04-18 18:00:00+00:00,16.19,16.19,0.61,5.09,25.0,10.35,1011.5
2006-04-18 19:00:00+00:00,14.88,14.88,0.72,9.18,32.0,9.98,1012.05
2006-04-18 20:00:00+00:00,14.33,14.33,0.75,10.93,31.0,15.83,1012.15
2006-04-18 21:00:00+00:00,14.51,14.51,0.75,6.38,47.0,14.96,1012.09
2006-04-18 22:00:00+00:00,14.37,14.37,0.75,6.54,67.0,15.83,1011.83
2006-04-18 23:00:00+00:00,14.88,14.88,0.72,14.22,60.0,15.83,1011.45
2006-04-19 00:00:00+00:00,10.41,10.41,0.92,3.61,144.0,2.01,1012.05
2006-04-19 01:00:00+00:00,12.82,12.82,0.83,8.44,57.0,11.21,1011.18
2006-04-19 02:00:00+00:00,12.8,12.8,0.85,14.43,31.0,14.91,1010.07
2006-04-19 03:00:00+00:00,12.83,12.83,0.86,13.89,12.0,14.17,1009.83
2006-04-19 04:00:00+00:00,12.27,12.27,0.85,15.78,12.0,11.21,1009.8
2006-04-19 05:00:00+00:00,12.27,12.27,0.85,15.58,2.0,11.27,1009.99
2006-04-19 06:00:00+00:00,12.18,12.18,0.82,12.38,11.0,11.08,1010.21
2006-04-19 07:00:00+00:00,12.17,12.17,0.8,20.38,11.0,11.27,1010.41
2006-04-19 08:00:00+00:00,12.71,12.71,0.83,22.09,19.0,11.27,1010.33
2006-04-19 09:00:00+00:00,15.61,15.61,0.78,22.35,18.0,10.35,1010.43
2006-04-19 10:00:00+00:00,16.02,16.02,0.78,18.06,20.0,11.21,1010.29
2006-04-19 11:00:00+00:00,17.2,17.2,0.67,17.65,48.0,11.21,1010.1
2006-04-19 12:00:00+00:00,17.22,17.22,0.71,14.09,46.0,11.03,1009.96
2006-04-19 13:00:00+00:00,17.83,17.83,0.69,13.41,29.0,11.21,1009.86
2006-04-19 14:00:00+00:00,17.83,17.83,0.69,14.62,19.0,11.21,1009.47
2006-04-19 15:00:00+00:00,17.73,17.73,0.69,9.24,340.0,11.03,1009.63
2006-04-19 16:00:00+00:00,16.27,16.27,0.71,23.07,39.0,11.21,1009.39
2006-04-19 17:00:00+00:00,13.17,13.17,0.93,3.77,335.0,5.22,1011.07
2006-04-19 18:00:00+00:00,13.26,13.26,0.93,3.14,228.0,8.05,1011.23
2006-04-19 19:00:00+00:00,13.01,13.01,0.93,10.34,274.0,9.98,1011.35
2006-04-19 20:00:00+00:00,12.46,12.46,0.91,5.8,310.0,14.91,1011.67
2006-04-19 21:00:00+00:00,12.49,12.49,0.9,9.89,315.0,14.59,1011.76
2006-04-01 22:00:00+00:00,9.56,8.85,0.8,6.49,146.0,15.83,1015.68
2006-04-01 23:00:00+00:00,10.62,10.62,0.79,14.02,160.0,15.83,1015.41
2006-04-02 00:00:00+00:00,8.72,8.72,0.93,4.57,40.0,11.4,1014.98
2006-04-02 01:00:00+00:00,10.53,10.53,0.77,10.77,143.0,15.83,1015.18
2006-04-02 02:00:00+00:00,9.44,8.71,0.83,6.54,133.0,15.83,1014.7
2006-04-02 03:00:00+00:00,9.89,9.33,0.83,6.09,163.0,14.96,1014.64
2006-04-02 04:00:00+00:00,10.37,10.37,0.78,10.71,136.0,15.83,1014.31
2006-04-02 05:00:00+00:00,8.89,7.23,0.89,10.5,158.0,11.21,1014.63
2006-04-02 06:00:00+00:00,9.98,8.99,0.84,8.0,151.0,11.03,1014.82
2006-04-02 07:00:00+00:00,12.2,12.2,0.73,2.46,355.0,9.98,1014.82
2006-04-02 08:00:00+00:00,13.96,13.96,0.67,9.31,123.0,9.98,1015.0
2006-04-02 09:00:00+00:00,14.94,14.94,0.67,7.16,132.0,10.35,1014.9
2006-04-02 10:00:00+00:00,16.18,16.18,0.71,11.75,199.0,9.98,1014.35
2006-04-02 11:00:00+00:00,16.37,16.37,0.61,7.13,227.0,11.27,1014.51
2006-04-02 12:00:00+00:00,17.37,17.37,0.57,3.62,251.0,11.45,1014.32
2006-04-02 13:00:00+00:00,17.67,17.67,0.51,1.75,156.0,11.27,1013.93
2006-04-02 14:00:00+00:00,17.72,17.72,0.53,8.68,113.0,11.27,1013.45
2006-04-02 15:00:00+00:00,16.24,16.24,0.61,2.83,261.0,11.4,1013.43
2006-04-02 16:00:00+00:00,14.07,14.07,0.71,9.24,357.0,11.21,1013.58
2006-04-02 17:00:00+00:00,13.96,13.96,0.76,7.42,147.0,11.21,1013.24
2006-04-02 18:00:00+00:00,12.29,12.29,0.8,3.54,161.0,11.03,1013.7
2006-04-02 19:00:00+00:00,10.02,10.02,0.86,3.11,149.0,9.9,1014.14
2006-04-02 20:00:00+00:00,9.38,8.65,0.86,6.44,190.0,15.6,1014.34
2006-04-02 21:00:00+00:00,9.42,9.42,0.9,4.6,138.0,14.72,1014.6
2006-04-19 22:00:00+00:00,11.83,11.83,0.92,3.03,311.0,15.83,1011.68
2006-04-19 23:00:00+00:00,10.76,10.76,0.91,5.17,178.0,0.61,1011.98
2006-04-20 00:00:00+00:00,12.16,12.16,0.95,2.85,298.0,3.64,1015.64
2006-04-20 01:00:00+00:00,9.67,9.19,0.94,5.72,123.0,0.61,1012.26
2006-04-20 02:00:00+00:00,8.15,7.15,0.94,6.76,10.0,0.61,1012.63
2006-04-20 03:00:00+00:00,10.2,10.2,0.95,5.62,133.0,1.11,1012.62
2006-04-20 04:00:00+00:00,10.12,10.12,0.99,2.25,127.0,0.52,1012.85
2006-04-20 05:00:00+00:00,10.16,10.16,0.99,0.34,81.0,0.43,1013.61
2006-04-20 06:00:00+00:00,11.24,11.24,0.98,2.75,358.0,0.69,1013.9
2006-04-20 07:00:00+00:00,12.24,12.24,0.99,2.25,152.0,2.21,1014.31
2006-04-20 08:00:00+00:00,13.91,13.91,0.92,8.1,135.0,4.2,1014.43
2006-04-20 09:00:00+00:00,15.62,15.62,0.82,2.29,153.0,6.31,1014.73
2006-04-20 10:00:00+00:00,15.07,15.07,0.86,3.28,120.0,6.34,1014.92
2006-04-20 11:00:00+00:00,15.07,15.07,0.82,7.6,162.0,8.19,1014.73
